,screen_name,OriginalAuthor,Type
127,02July1776,stealthygeek,RT
1762,040Brian,StefanMolyneux,RT
1486,080TFairchild,bellvisuals,RT
2512,08balet80,08balet80,Original
4595,0Kultra,Nonsensicole,RT
4373,0hTerTer,eugenegu,RT
2538,100TeamTrump,StacyLStiles,RT
1683,101piper,EmilyDeck,RT
3238,1040bay,ChewGirliechew,RT
3439,10fifteen,SenSchumer,RT
305,1101110112,wokeluisa,RT
5099,11Gar5,GeorgiaDirtRoad,RT
3507,11c_ted,DonaldJTrumpJr,RT
4247,12TheBirds,gal_deplorable,RT
2433,1461WaysToSay,1461WaysToSay,Original
6061,1776Stonewall,1776Stonewall,Original
3954,1944jnewell,GreggHarper,RT
362,1958FRO,mcspocky,RT
155,19fisherman59,B75434425,RT
6171,1Dittlinger,1Dittlinger,Original
1143,1Freddycmusic,AMErikaNGIRLBOT,RT
6224,1GigiSims,1GigiSims,Original
1832,1GigiSims,WhiteHouse,RT
6199,1GigiSims,1GigiSims,Original
6121,1IronMan2018,1IronMan2018,Original
5344,1Jedi_Rey,1Jedi_Rey,Original
1947,1Kimsey,Scavino45,RT
128,1MrsOpinionated,ScottPresler,RT
2092,1RodeoBum,DaveMasonBOL,RT
5468,1Romans58,1Romans58,Original
5834,1Romans58,1Romans58,Original
2112,1Rubra,1Rubra,Original
3274,1SG_K_Tx,FoxNews,RT
901,1SG_K_Tx,AMErikaNGIRLBOT,RT
5101,1Salty_Patriot,1Salty_Patriot,Original
1147,1SpankYou,AMErikaNGIRLBOT,RT
981,1VirtualPixie,1VirtualPixie,Original
3536,1VoodooKitty1,RulingVenus,RT
2554,1blessedbee,robjh1,RT
536,1citizenpundit,B75434425,RT
3102,1eskyman,ericbolling,RT
400,1feduptxpyer,carrieksada,RT
602,1isten_up,carrieksada,RT
4481,1pilotman,WhiteHouse,RT
798,1sealee,BleedingRedDan,RT
653,1stChristineAnn,B75434425,RT
5213,1taoguy,DTrumpPoll,RT
395,2053pam,MissMaga2016,RT
3316,2181Sjp,SpeakerRyan,RT
