image_id,image_url,post,no_likes,no_comments,image_labels,image_text,web_entities
0,https://instagram.fftw1-1.fna.fbcdn.net/vp/e495bf87c7199528c27801bd5afd7ff0/5B0CF0F0/t51.2885-15/e35/26285250_1499884506786475_9203502753639301120_n.jpg,"“I didn’t get accepted into any of the universities that I wanted, and I ended up going to a lesser quality school. I hated being there. On the first day, I thought about buying a plane ticket and going home. I felt like I had nothing in common with the people around me. I felt like they belonged and I didn’t. My plan was just to survive-- get through six lectures a day, keep to myself, and get back to my dorm room as soon as possible. I didn’t even talk to my own roommate. I’m ashamed of it now. I was so rude and self-centered, and it ended up making me lonely and miserable. I felt depressed. I was barely sleeping. Then one night I overheard my roommate talking on the phone with her mother. And I could tell she was having family problems. After she hung up, we stayed up all night talking. I told her that I was having a hard time too. She became my best friend after that night. We’d have dinner together. Whenever I left the room, she’d ask me where I was going. It felt so good to have someone worry about me. It’s been an important six months for me. I’ve realized how much I need other people. By not valuing the people around me, I was only hurting myself.” (Mumbai, India)",493.6k,"3,806",footwear fashion accessory jeans shoulder shoe fashion denim design headgear pattern,,Casa Adela Brandon Stanton New York City Binghamton University Humans of New York Humans of New York: The Series Facebook IFTTT University Login
1,https://instagram.fftw1-1.fna.fbcdn.net/vp/2ea7a845bd793b4ddb93934fe494b701/5B2CAA96/t51.2885-15/e35/26353308_399205943852252_3924196706505195520_n.jpg,"""I'm trying to live my life without conflict so I don't say much."" (Mumbai, India)",268k,"2,714",sitting vehicle temple headgear street health & beauty,,Brandon Stanton New York City India Black Panther Bucky Barnes Black Panther Humans of New York: Stories Humans of New York Life Without Conflict Sina Weibo
2,https://instagram.fftw1-1.fna.fbcdn.net/vp/158091553b05b904838dd8416fa4801f/5B2B3AA8/t51.2885-15/e35/26066029_224157041461006_3689662140337094656_n.jpg,"“I was a full time housewife. I kept mostly to myself. I was a very shy person. Then one year a local school asked if I could volunteer to teach art to the children. Just one hour every day. I did such a good job that the next year they asked me to teach full time. My husband didn’t want me to do it. He said: ‘You told me it would just be one hour.” But I told him: ‘I listened to you for twenty-five years, now it’s my turn to take the reins.’ I ended up teaching for fifteen years. I built such a good reputation that children came from other schools to join my class. The whole school threw a party when I retired. The children sang songs and danced. It just made me feel so special. Teaching was the best decision I ever made. Now I feel like I’ve done something positive with my life.” (Mumbai, India)",411.7k,"4,103",woman facial expression lady smile snapshot girl temple textile street road,,New York City Felines of New York: A Glimpse Into the Lives of New York's Feline Inhabitants Housewife Woman Child Mother Sina Weibo Notey Blog Feeling
3,https://instagram.fftw1-1.fna.fbcdn.net/vp/05396400be827ab0bb3151f170d42fa0/5B2F50D7/t51.2885-15/e35/26073136_178671829550930_1980584448692846592_n.jpg,"""I don't know how old I am."" (Mumbai, India)",451.4k,"5,207",face facial expression yellow head smile eye temple human senior citizen fun,,India Humans of New York Humans of New York: Stories Child Humans of New York Woman Photograph Author Eye Smile
4,https://instagram.fftw1-1.fna.fbcdn.net/vp/808626655efc11ed5806f3f8594feb1c/5B483142/t51.2885-15/e35/26185867_1766974816937533_1372165549114523648_n.jpg,"“I resented my mother for the longest time. She was always affectionate. There’s nothing mean-spirited about her. But she has some sort of condition. I used to be embarrassed to bring friends over. She was always fidgeting. She couldn’t sit still. There were a lot of monologues, and often they didn’t make any sense. When I was young I didn’t realize it was mental illness. Especially because the subject is taboo in India. So I’d just get angry with her. I’d victimize myself and blame her for everything. But I’m older now, so I’m trying to be more patient. I’ve met a lot of people who don’t even have mothers. So I’ve stopped fighting it. I don’t nag her. I hug her more. And I listen to her, even if she doesn’t always make sense.” (Mumbai, India)",237.2k,"1,201",hand finger nail arm jewellery ring,,New York City Sadhana H. Varshney Mumbai Humans of New York Humans of New York Affection Screenshot Embarrassment Image Life Is Too Short to Be Grumpy
5,https://instagram.fftw1-1.fna.fbcdn.net/vp/4614871ae90ad9bcd13a9b9587e242c9/5B0B9E63/t51.2885-15/e35/26187972_142941493037106_6165426588495118336_n.jpg,"""My mom made me a birthday dress!""",272.5k,"1,288",girl child dress outerwear temple costume tradition gown smile flower girl,,New York City India Humans of New York Child Mother Dress Flower girl Daughter Birth Man
6,https://instagram.fftw1-1.fna.fbcdn.net/vp/48046b68fec9db00443552bd2563574f/5B2DAAE0/t51.2885-15/e35/25038515_1620165508036528_778559356084944896_n.jpg,"“When I was a child, it was up to me to feed our family because my father couldn't work. I had a job at a motorcycle repair shop. Everyone would sit at home and wait for me to make money. Once we almost ran out of food. We didn’t have a single rupee and there was nothing to eat. I could handle it, but I couldn’t bear the thought of my baby sister going to sleep hungry. I sat at my shop all day, praying for a customer. But nobody came. Then just as night was falling, a man drove up with a puncture in his tire. The price of the repair was three rupees. But when I was finished, the man handed me twenty rupees and drove away. I was able to buy two kilograms of rice. My entire life turned around that day. My shop became very busy. We were never hungry again. Even today I think about that man. I never saw his face. He changed not just my life, but the lives of my entire family. I wonder who he was. Sometimes I think it was God himself.” (Mumbai, India)",396.6k,"8,035",road street vehicle mode of transport infrastructure sitting jeans,,New York City Brandon Stanton Humans of New York: The Series Mumbai Humans of New York Facebook Watch Facebook Child Birth Family
7,https://instagram.fftw1-1.fna.fbcdn.net/vp/211c55da4bd1deac13189e1a619afce7/5B2BF6F6/t51.2885-15/e35/26066440_182038532384071_7151326538766483456_n.jpg,"“I have a big book about tiger conservation, and I always knew that the ocean was in trouble. But I didn’t really become an environmentalist until I got to grade one. That’s when I thought of many interesting ways to help. Some things you can do are reduce waste, carpool more often, spread awareness, plant trees, not cut trees, cut carbon emissions, and reduce nuclear disposal. I’m too young to start nuclear disposal because it’s dangerous and I don’t have the proper gloves. But I do recycle and keep plants on my balcony.” (Mumbai, India)",386.6k,"8,891",hair face hairstyle girl head child smile cheek ear forehead,,New York City Humans of New York Brandon Stanton Humans of New York Paper Environmentalism Homo sapiens Recycling Environmentalist Organization
8,https://instagram.fftw1-1.fna.fbcdn.net/vp/fbbddaabd34e1d0523c2b7e803b11e18/5B27E37F/t51.2885-15/e35/25035707_1821257708172701_7185862108800614400_n.jpg,"“My mother’s friends say that I’m just like her. She died of breast cancer when I was two years old. I had to grow up fast because my father was always working and seldom around. I was doing my own laundry at the age of seven. I figured the puberty thing out on my own. During high school, I’d leave for entire weekends without my dad even asking where I’d been. Then one year at Thanksgiving, my aunt told me that my mother had left me a letter and a video. She got so angry when I told her I’d never gotten it. I confronted my Dad about it, and he said that he ‘remembered something like that.’ He drove me to a safety deposit box—but the box was empty. He couldn’t remember what happened. He had one job. One thing that would mean more to me than anything else, and he couldn’t do it. My mom’s friends always tell me: ‘She would be so proud of you,’ or ‘She was so in love with you. But that’s not the same. It’s not the same as something directly from her. Something she made especially for me. Just one thing that actually says: ‘This is how much I love you.’”",413.6k,"5,874",headgear fashion accessory girl hair accessory scarf winter cap headpiece neck bandana,,New York City Humans of New York: The Series Humans of New York Brandon Stanton Quotation Mother Saying Child Father Girl
9,https://instagram.fftw1-1.fna.fbcdn.net/vp/cf58fc53da5e29de19316e8136aebe9e/5B1A36A8/t51.2885-15/e35/25039327_1727295613949275_4791765798056099840_n.jpg,"“I’m pretty sure I’m a sociopath. Or something close to it. My parents were pilots, so I spent most of my early childhood on a small island in Tunisia. The only other kids were the children of a local hotelkeeper. I was so isolated that I even invented my own words. By the time I got to high school, I was a monster. I only cared about being the best. I was a bully. I’d argue just for the sake of arguing. I would destroy any belief, just to be right. My behavior is different now. But I think I’m still a sociopath. I’m not sure I feel empathy. But I do always try to make the empathetic choice. It’s an intellectual thing for me. I’m intellectually convinced of the need for empathy. I choose to help other people. I choose to be a reliable friend. I have a wonderful wife who judges me by my actions, and not my reasons for them. Sometimes I feel like Pinocchio. Was he a real boy? Yes, because that’s what he always strived to be.”",256.8k,"5,348",outerwear fur suit gentleman,,New York City Antisocial personality disorder Child Humans of New York Shoe Emotion Psychopathy Sock Boy Lugz
